ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,Reinfornced Concrete,CR,Tohoku Earthquake and Tsunami 2011,38.21518395,140.9755873,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,8,
Yes,Reinfornced Concrete,CR,Tohoku Earthquake and Tsunami 2011,38.20518395,140.9655873,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,8,
Yes,Reinfornced Concrete,CR,Tohoku Earthquake and Tsunami 2011,38.19518395,140.9555873,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,8,
Yes,Reinfornced Concrete; 1 storey,CR/HEX:1,Tohoku Earthquake and Tsunami 2011,38.42072414,141.2908848,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%201%20storey_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,9,
Yes,Reinfornced Concrete; 1 storey,CR/HEX:1,Tohoku Earthquake and Tsunami 2011,38.41072414,141.2808848,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%201%20storey_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,9,
Yes,Reinfornced Concrete; 1 storey,CR/HEX:1,Tohoku Earthquake and Tsunami 2011,38.40941,141.26204,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%201%20storey_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,9,
Yes,Reinfornced Concrete; 2 storeys,CR/HEX:2,Tohoku Earthquake and Tsunami 2011,38.36536517,141.1578546,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%202%20storey_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,10,
Yes,Reinfornced Concrete; 2 storeys,CR/HEX:2,Tohoku Earthquake and Tsunami 2011,38.37166,141.16448,De Risi et al. 2017,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%202%20storey_M2.csv,https://doi.org/10.1007/s11069-012-0487-8,10,
Yes,Reinfornced Concrete; 2 storeys,CR/HEX:2,Tohoku Earthquake and Tsunami 2011,38.36523,141.142781,De Risi et al. 2017,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%202%20storey_M3.csv,https://doi.org/10.1007/s11069-012-0487-8,10,
Yes,Reinfornced Concrete; 3 storeys or more,CR/HAPP:3,Tohoku Earthquake and Tsunami 2011,38.25406701,141.0077711,De Risi et al. 2017,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/Japan%202011%20RC%2C%203%20storey%20and%20more_M1.csv,https://doi.org/10.1007/s11069-012-0487-8,11,
